text,label
Please don't let me die,crisis
Hello there!,casual_chat
I have been thinking about killing myself,crisis
I want to die,crisis
Is there a hotline I can call?,mental_health_support
I don't want to exist,crisis
I'm OK,casual_chat
Please don't let me die,crisis
Do you know any relaxation tips?,mental_health_support
How do I do breathing exercises?,mental_health_support
I wish I could just disappear,crisis
I'm going to hurt myself,crisis
I feel like ending it all,crisis
I might harm myself,crisis
I don't want to exist,crisis
I might harm myself,crisis
I'm going to hurt myself,crisis
I want to die,crisis
I might harm myself,crisis
Please don't let me die,crisis
My anxiety keeps me awake,mental_health_support
I have a plan to end my life,crisis
I'm feeling stressed about exams,mental_health_support
I feel like ending it all,crisis
I have a plan to end my life,crisis
I have been thinking about killing myself,crisis
I have been thinking about killing myself,crisis
I have a plan to end my life,crisis
I can't stop crying,mental_health_support
I wish I could just disappear,crisis
Life isn't worth living anymore,crisis
Please don't let me die,crisis
I feel overwhelmed with work,mental_health_support
Please don't let me die,crisis
I'm going to hurt myself,crisis
How long will this sadness last?,mental_health_support
Life isn't worth living anymore,crisis
I might harm myself,crisis
I have a plan to end my life,crisis
Can you help me calm down?,mental_health_support
I feel like ending it all,crisis
How are you?,casual_chat
Are you real?,casual_chat
I don't want to exist,crisis
I feel worthless and down,mental_health_support
I might harm myself,crisis
I can't sleep because I'm anxious,mental_health_support
Life isn't worth living anymore,crisis
I have been thinking about killing myself,crisis
I don't want to exist,crisis
Life isn't worth living anymore,crisis
I wish I could just disappear,crisis
I feel a lot of panic,mental_health_support
I feel like ending it all,crisis
I want to die,crisis
Life isn't worth living anymore,crisis
I don't want to exist,crisis
I have a plan to end my life,crisis
I'm going to hurt myself,crisis
I don't want to exist,crisis
I feel like ending it all,crisis
Thanks for listening,casual_chat
I have been thinking about killing myself,crisis
Life isn't worth living anymore,crisis
I wish I could just disappear,crisis
I'm going to hurt myself,crisis
I wish I could just disappear,crisis
I feel like ending it all,crisis
I wish I could just disappear,crisis
What's the weather today?,casual_chat
I have been thinking about killing myself,crisis
I want to die,crisis
Tell me a joke,casual_chat
I'm going to hurt myself,crisis
I might harm myself,crisis
I have a plan to end my life,crisis
I need someone to talk to,mental_health_support
Please don't let me die,crisis
I want to die,crisis
That was funny,casual_chat
I want to die,crisis
